*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1-no-socket
*Date=03:27:00
*CreatedBy=Fritzing 0.7.12b.02.13.6882
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;8.9916;-39.3876;0;Bottom;Copper Fill4
2;;;44.0309;-0.6526;0;Bottom;Copper Fill80
3;;;9.9441;-35.0442;0;Bottom;Copper Fill13
4;;;44.6278;-33.0884;0;Bottom;Copper Fill3
5;;;46.6852;-30.9294;0;Bottom;Copper Fill49
6;;;26.67;-1.6813;0;Bottom;Copper Fill29
7;;;13.5509;-2.8116;0;Bottom;Copper Fill16
8;;;11.2776;-36.3777;0;Bottom;Copper Fill53
9;;;1.3589;-43.096;0;Bottom;Copper Fill34
10;;;34.8488;-1.8972;0;Bottom;Copper Fill11
11;;;12.4206;-1.6813;0;Bottom;Copper Fill60
12;;;0.4064;-41.9657;0;Bottom;Copper Fill36
13;;;44.0309;-0.6526;0;Bottom;Copper Fill30
14;;;20.0533;-2.8116;0;Bottom;Copper Fill22
15;;;29.2862;-10.33;0;Bottom;Copper Fill9
16;;;18.8346;-35.2549;0;Bottom;IMG1
17;;;33.1724;-1.6813;0;Bottom;Copper Fill85
18;;;47.2186;-23.8936;0;Bottom;Copper Fill48
19;;;42.7228;-28.0084;0;Bottom;Copper Fill7
20;;;21.6281;-43.096;0;Bottom;Copper Fill96
21;;;30.9118;-1.6813;0;Bottom;Copper Fill84
22;;;19.0881;-43.096;0;Bottom;Copper Fill94
23;;;9.1694;-1.6813;0;Bottom;Copper Fill66
24;;;44.5516;-15.156;0;Bottom;Copper Fill8
25;;THT;7.45118;-33.7596;90;Bottom;R9
26;;;20.0533;-2.8116;0;Bottom;Copper Fill67
27;;;42.9006;-1.6813;0;Bottom;Copper Fill31
28;;;37.5285;-2.8116;0;Bottom;Copper Fill71
29;;;32.0421;-2.8116;0;Bottom;Copper Fill82
30;;;18.923;-1.6813;0;Bottom;Copper Fill24
31;;;31.8516;-34.9426;0;Bottom;Copper Fill2
32;;;24.1681;-40.8608;0;Bottom;Copper Fill43
33;;;32.9946;-37.8128;0;Bottom;Copper Fill45
34;1k;1206 [SMD];10.7896;-12.0495;-90;Bottom;R2
35;;;20.0533;-0.6526;0;Bottom;Copper Fill23
36;;;37.5285;-0.6526;0;Bottom;Copper Fill25
37;;SOT-23 [SMD];43.0985;-36.4667;-90;Top;Q1
38;10k;1206 [SMD];3.7896;-11.9494;90;Bottom;R1
39;;;38.6588;-1.6813;0;Bottom;Copper Fill74
40;10k;1206 [SMD];31.7897;-11.9494;90;Bottom;R5
41;;;49.0093;-38.2446;0;Bottom;Copper Fill91
42;4.7k;1206 [SMD];50.0485;-8.1168;180;Top;R11
43;;;8.0645;-0.6526;0;Bottom;Copper Fill64
44;;;18.6944;-31.9962;0;Bottom;Copper Fill6
45;;[THT];16.8487;-3.86649;180;Bottom;S2
46;10k;1206 [SMD];17.7898;-12.0495;-90;Bottom;R3
47;;;13.5509;-0.6526;0;Bottom;Copper Fill17
48;;;28.2194;-20.4646;0;Bottom;Copper Fill50
49;;;48.26;-37.4445;0;Bottom;Copper Fill39
50;;;47.5361;-1.0082;0;Bottom;Copper Fill62
51;;;25.1968;-36.6444;0;Bottom;Copper Fill47
52;;;24.1681;-43.096;0;Bottom;Copper Fill98
